station,line,route,longitude,latitude
Tufts Medical Center,ORANGE,Forest Hills to Oak Grove,-71.06391632,42.34983936
Herald Street,SILVER,SL4 SL5,-71.06471962,42.34641169
Boylston,GREEN,B C D E,-71.06460214,42.35302132
Tremont St @ Boylston Station,SILVER,SL5,-71.06419884,42.3533707
Arlington,GREEN,B C D E,-71.07098957,42.35176845
Union Park Street,SILVER,SL4 SL5,-71.06921601,42.3414348
Back Bay,ORANGE,Forest Hills to Oak Grove,-71.07510604,42.3475591
Prudential,GREEN,E - Health Street,-71.08119909,42.34576811
Copley,GREEN,B C D E,-71.07797545,42.3499076
Worcester Street,SILVER,SL4 SL5,-71.07587716,42.33737105
Worcester Street,SILVER,SL4 SL5,-71.07539891,42.33755503
Massachusetts Ave,SILVER,SL4 SL5,-71.07719976,42.33624967
Massachusetts Ave,SILVER,SL4 SL5,-71.07730468,42.33632436
Melnea Cass Blvd,SILVER,SL4 SL5,-71.08119881,42.33270167
Melnea Cass Blvd,SILVER,SL4 SL5,-71.0808019,42.33310537
Lenox St,SILVER,SL4 SL5,-71.07906038,42.33492923
Lenox St,SILVER,SL4 SL5,-71.07854227,42.33516666
West Newton Street,SILVER,SL4 SL5,-71.07375726,42.33869085
West Newton Street,SILVER,SL4 SL5,-71.0738833,42.33875976
Union Park Street,SILVER,SL4 SL5,-71.07136915,42.34042085
Ruggles,ORANGE,Forest Hills to Oak Grove,-71.08977031,42.33645274
Northeastern University,GREEN,E - Health Street,-71.08965205,42.34005063
Nubian,SILVER,SL4 SL5,-71.08371931,42.32970399
Massachusetts Ave,ORANGE,Forest Hills to Oak Grove,-71.08375676,42.34131393
Hynes Convention Center,GREEN,B C D,-71.08731456,42.34798229
Symphony,GREEN,E - Health Street,-71.08494061,42.34272034
Kendall/MIT,RED,A - Ashmont  B - Braintree  C - Alewife,-71.08619149,42.36241534
East Somerville,GREEN,E - Medford/Tufts,-71.086543,42.3794477
Wellington,ORANGE,Forest Hills to Oak Grove,-71.07711744,42.40174005
Assembly,ORANGE,Forest Hills to Oak Grove,-71.07712534,42.39215591
Sullivan Square,ORANGE,Forest Hills to Oak Grove,-71.07693157,42.38429742
Lechmere,GREEN,D E,-71.07650953,42.37162187
Community College,ORANGE,Forest Hills to Oak Grove,-71.07033822,42.37390813
Charles/MGH,RED,A - Ashmont  B - Braintree  C - Alewife,-71.07108061,42.36116762
Science Park/West End,GREEN,D E,-71.06774399,42.36674243
North Station,GREEN/ORANGE,GREEN D E / ORANGE Forest Hills to Oak Grove,-71.05998293,42.36514376
Bowdoin,BLUE,Bowdoin to Wonderland,-71.06183707,42.36116075
Haymarket,GREEN/ORANGE,GREEN D E / ORANGE Forest Hills to Oak Grove,-71.05785166,42.36247252
Gilman Square,GREEN,E - Medford/Tufts,-71.09627898,42.38774856
Union Square,GREEN,D - Union Square,-71.0950761,42.37746482
Central,RED,A - Ashmont  B - Braintree  C - Alewife,-71.10382518,42.36543994
Magoun Square,GREEN,E - Medford/Tufts,-71.10643684,42.39385203
Ball Square,GREEN,E - Medford/Tufts,-71.11065157,42.39951877
Porter,RED,A - Ashmont  B - Braintree  C - Alewife,-71.11911422,42.38832048
Davis,RED,A - Ashmont  B - Braintree  C - Alewife,-71.12223402,42.39675186
Harvard,RED,A - Ashmont  B - Braintree  C - Alewife,-71.11890607,42.37402923
Alewife,RED,A - Ashmont  B - Braintree  C - Alewife,-71.14207731,42.39612103
Orient Heights,BLUE,Bowdoin to Wonderland,-71.0042,42.3871
Suffolk Downs,BLUE,Bowdoin to Wonderland,-70.997,42.3904
